Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
elclasificado.com/phoenix/autos,"5,768","1,728",00:00:33,"1,304",20.48%,16.89%,$0.00
elclasificado.com/phoenix/empleos,"2,631",904,00:00:36,613,17.29%,16.31%,$0.00
elclasificado.com/phoenix,"2,436","1,223",00:00:34,651,17.08%,16.26%,$0.02
elclasificado.com/phoenix/autos-honda,"1,972",672,00:00:44,103,27.18%,7.00%,$0.00
elclasificado.com/phoenix/autos-toyota,"1,813",830,00:00:53,349,37.82%,19.36%,$0.00
elclasificado.com/phoenix/rentas,"1,501",691,00:00:48,430,27.67%,26.25%,$0.00
elclasificado.com/phoenix/empleo-domestico,"1,406",581,00:01:08,227,40.97%,15.86%,$0.00
elclasificado.com/phoenix/search-results,"1,282",633,00:01:25,43,74.42%,18.10%,$0.00
elclasificado.com/phoenix/rentas-casas,"1,012",688,00:01:23,452,53.76%,41.21%,$0.00
elclasificado.com/phoenix/compra-venta-ropa,917,470,00:01:21,388,46.65%,36.10%,$0.00
elclasificado.com/phoenix/autos-ford,911,469,00:00:41,42,35.71%,7.14%,$0.00
elclasificado.com/phoenix/autos-chevrolet,892,508,00:00:39,84,46.43%,15.58%,$0.00
elclasificado.com/phoenix/rentas-apartamentos,707,379,00:00:53,177,47.46%,26.17%,$0.00
elclasificado.com/phoenix/oportunidad-empleo,686,399,00:01:27,158,36.71%,25.36%,$0.00
elclasificado.com/phoenix/perros-mascotas,603,223,00:01:00,191,31.41%,23.55%,$0.00
elclasificado.com/phoenix/compra-venta,411,174,00:00:29,74,40.54%,17.03%,$0.00
elclasificado.com/phoenix/rentas-cuartos,406,194,00:01:11,125,41.60%,28.82%,$0.00
elclasificado.com/phoenix/empleo-meseros-cocineros,374,200,00:00:53,40,40.00%,11.76%,$0.00
elclasificado.com/phoenix/transporte-envio-paquetes,346,156,00:01:19,152,36.18%,36.42%,$0.00
elclasificado.com/phoenix/legalizacion-autos-mexico,335,203,00:01:25,184,36.96%,45.97%,$0.00
elclasificado.com/phoenix/subastas-autos,334,239,00:01:13,198,55.05%,55.99%,$0.00
elclasificado.com/phoenix/jumpers-fiestas,312,171,00:01:33,161,55.90%,46.15%,$0.00
elclasificado.com/phoenix/autos-toyota/2005-toyota-tacoma-access-sr5-8698073,304,239,00:01:21,22,77.27%,16.12%,$0.00
elclasificado.com/phoenix/empleo-cuidado-ninos,295,166,00:00:58,37,40.54%,12.88%,$0.00
elclasificado.com/phoenix/venta-casas-moviles,280,174,00:02:33,156,49.36%,53.57%,$0.00
elclasificado.com/phoenix/empleo-bodegas-warehouse,270,212,00:00:44,26,50.00%,15.93%,$0.00
elclasificado.com/phoenix/para-adultos,263,148,00:00:30,57,31.58%,17.49%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo,250,145,00:01:26,82,35.37%,32.00%,$0.00
elclasificado.com/phoenix/autos-toyota/reduce-price-for-2002-toyota-8537468,248,202,00:01:29,10,50.00%,7.66%,$0.00
elclasificado.com/phoenix/compra-venta-muebles-casa,243,152,00:01:59,117,48.72%,43.62%,$0.00
elclasificado.com/phoenix/salones-fiestas,232,102,00:01:06,95,37.89%,31.90%,$0.00
elclasificado.com/phoenix/volkswagen-autos,216,117,00:00:30,4,50.00%,5.56%,$0.00
elclasificado.com/phoenix/autos-honda?pg=2,215,137,00:00:21,4,50.00%,5.12%,$0.00
elclasificado.com/phoenix/empleo-carpinteros-construccion,205,137,00:01:07,11,54.55%,18.05%,$0.00
elclasificado.com/phoenix/perros-mascotas?pg=2,198,54,00:00:25,3,33.33%,6.06%,$0.00
elclasificado.com/phoenix/autos-nissan-autodealer,187,153,00:00:31,2,0.00%,6.42%,$0.00
elclasificado.com/phoenix/gmc-autos,184,112,00:00:16,2,50.00%,3.26%,$0.00
elclasificado.com/phoenix/autos-dodge,175,135,00:00:22,0,0.00%,4.57%,$0.00
elclasificado.com/phoenix/autos-ford/2006-ford-f150-xlt-8508914,170,134,00:01:35,17,41.18%,14.71%,$0.00
elclasificado.com/phoenix/empleo-choferes-troqueros,170,127,00:01:08,31,54.84%,18.24%,$0.00
elclasificado.com/phoenix/autos-honda/2007-honda-civic-lx-8535305,169,136,00:01:06,5,80.00%,10.06%,$0.00
elclasificado.com/phoenix/autos-toyota/2008-toyota-ca-for-sale-8625752,169,141,00:01:31,0,0.00%,9.47%,$0.00
elclasificado.com/phoenix/autos-chevrolet/2003-chevrolet-silverado-2500-8499176,168,131,00:01:11,2,50.00%,5.36%,$0.00
elclasificado.com/phoenix/busco-empleo,165,129,00:01:04,12,58.33%,13.94%,$0.00
elclasificado.com/phoenix/partes-auto,163,90,00:00:55,57,36.84%,31.90%,$0.00
elclasificado.com/phoenix/autos-chrysler-jeep,159,92,00:00:21,7,42.86%,7.55%,$0.00
elclasificado.com/phoenix/trabajo-independientes,159,85,00:00:58,6,33.33%,5.03%,$0.00
elclasificado.com/phoenix/musica-banda,157,110,00:02:05,93,63.44%,53.50%,$0.00
elclasificado.com/phoenix/jeep-autos,156,131,00:00:28,6,83.33%,8.97%,$0.00
elclasificado.com/phoenix/autos-honda/super-clean-inside-and-out-8751405,151,130,00:00:48,4,50.00%,8.61%,$0.00
elclasificado.com/phoenix/busco-rentar,150,111,00:00:25,2,50.00%,4.67%,$0.00
elclasificado.com/phoenix/clases-ingles,145,96,00:00:57,85,52.94%,50.34%,$0.00
elclasificado.com/phoenix/empleo-domestico/limpieza-de-oficinas-8596597,137,125,00:01:16,5,60.00%,5.84%,$0.00
elclasificado.com/phoenix/fiestas,133,59,00:00:38,26,26.92%,22.56%,$0.00
elclasificado.com/phoenix/acura-autos,130,73,00:00:24,1,0.00%,3.85%,$0.00
elclasificado.com/phoenix/venta-terrenos,127,82,00:02:45,76,55.26%,51.97%,$0.00
elclasificado.com/phoenix/empleo-domestico/real-estate-8709897,125,92,00:01:49,6,66.67%,12.80%,$0.00
elclasificado.com/phoenix/autos-honda/2008-honda-accord-lx-sedan-7255955,124,105,00:01:08,3,33.33%,5.65%,$0.00
elclasificado.com/phoenix/autos-chevrolet-autodealer,121,103,00:00:20,2,0.00%,9.09%,$0.00
elclasificado.com/phoenix/rines-llantas-autos,119,81,00:01:25,61,47.54%,47.90%,$0.00
elclasificado.com/phoenix/autos-honda/2006-honda-civic-ex-sedan-8747288,112,99,00:01:33,3,33.33%,6.25%,$0.00
elclasificado.com/phoenix/autos-toyota/toyota-camry-le-sedan-2002-7419423,112,98,00:00:50,0,0.00%,1.79%,$0.00
elclasificado.com/phoenix/autos-honda/use-honda-civic-for-sale-8161615,109,99,00:00:58,1,100.00%,3.67%,$0.00
elclasificado.com/phoenix/bmw-autos,106,69,00:00:30,1,0.00%,3.77%,$0.00
elclasificado.com/phoenix/mascotas,106,49,00:00:15,2,100.00%,7.55%,$0.00
elclasificado.com/phoenix/empleo-vendedores,104,42,00:00:50,0,0.00%,3.85%,$0.00
elclasificado.com/phoenix/musica-tamborazo-norteno,103,63,00:01:35,44,40.91%,40.78%,$0.00
elclasificado.com/phoenix/perros-mascotas?pg=3,99,38,00:00:41,1,0.00%,3.03%,$0.00
elclasificado.com/phoenix/acura-autos/2004-acura-tl-8698078,98,79,00:01:14,7,28.57%,4.08%,$0.00
elclasificado.com/phoenix/caballos-mascotas,98,64,00:00:59,63,63.49%,61.22%,$0.00
elclasificado.com/phoenix/empleo-domestico/se-solicita-empleada-domestica-8835842,98,78,00:01:29,23,52.17%,25.51%,$0.00
elclasificado.com/phoenix/masajes-adultos,97,74,00:03:29,64,67.19%,67.01%,$0.00
elclasificado.com/phoenix/casas-de-venta,95,48,00:00:48,24,33.33%,17.89%,$0.00
elclasificado.com/phoenix/infinity-autos-autodealer,95,74,00:00:24,1,100.00%,1.05%,$0.00
elclasificado.com/phoenix/rentas-apartamentos?pg=2,88,49,00:00:30,1,100.00%,6.82%,$0.00
elclasificado.com/phoenix/solo-adultos,88,61,00:00:20,12,66.67%,14.77%,$0.00
elclasificado.com/phoenix/empleo-hoteles,86,66,00:00:35,4,50.00%,6.98%,$0.00
elclasificado.com/phoenix/empleo-oficina,86,78,00:00:25,1,100.00%,10.47%,$0.00
elclasificado.com/phoenix/compra-venta-ropa?pg=2,83,40,00:00:45,2,50.00%,13.25%,$0.00
elclasificado.com/phoenix/search-results?categoryId=10,80,46,00:01:11,1,0.00%,15.00%,$0.00
elclasificado.com/phoenix/venta-casas-moviles/western-acres-trialas-de-venta-8465687,80,66,00:01:23,1,0.00%,15.00%,$0.00
elclasificado.com/phoenix/,79,46,00:00:52,41,9.76%,21.52%,$0.00
elclasificado.com/phoenix/gmc-autos/2006-gmc-sierra-2500-8724931,79,57,00:01:31,7,100.00%,15.19%,$0.00
elclasificado.com/phoenix/lexus-autos,78,43,00:00:18,1,100.00%,3.85%,$0.00
elclasificado.com/phoenix/autos-toyota/tundra-toyota-2007-8796960,76,64,00:01:05,2,50.00%,9.21%,$0.00
elclasificado.com/phoenix/empleo-meseros-cocineros/ayudante-de-cocina-8617792,76,66,00:00:49,0,0.00%,3.95%,$0.00
elclasificado.com/phoenix/rentas-cuartos/rento-cuarto-7458643,75,58,00:01:21,0,0.00%,5.33%,$0.00
elclasificado.com/phoenix/prestamos-personales,70,38,00:01:04,32,46.88%,38.57%,$0.00
elclasificado.com/phoenix/rentas-casas/antes-de-rentar-investigue-8485737,70,64,00:00:49,2,100.00%,20.00%,$0.00
elclasificado.com/phoenix/motores-transmisiones-autos,69,51,00:01:40,47,63.83%,63.77%,$0.00
elclasificado.com/phoenix/agricultura,68,43,00:01:24,32,50.00%,41.18%,$0.00
elclasificado.com/phoenix/empleo-domestico/room-attendant-phoenix-8633466,68,65,00:02:37,5,60.00%,16.18%,$0.00
elclasificado.com/phoenix/adopcion-mascotas,67,42,00:01:29,32,25.00%,26.87%,$0.00
elclasificado.com/phoenix/search-results?categoryId=6,67,19,00:00:54,0,0.00%,8.96%,$0.00
elclasificado.com/phoenix/autos-toyota-autodealer,66,53,00:00:15,0,0.00%,3.03%,$0.00
elclasificado.com/phoenix/transporte-envio-paquetes/paqueteria-a-mexico-navidad-14-8776503,66,53,00:01:48,3,33.33%,12.12%,$0.00
